term	type	state	state_fullname	percent_state	percent_us	diff
cinnamon	ingredient	AK	Alaska	0.48	0.15	0.33
cookies	dish	AK	Alaska	0.57	0.24	0.32
ranch dressing	ingredient	AK	Alaska	0.58	0.26	0.32
cheddar cheese	ingredient	AK	Alaska	0.67	0.36	0.31
creamy	sensory	AK	Alaska	0.60	0.30	0.30
warmed	sensory	AK	Alaska	0.46	0.17	0.28
chipotle	ingredient	AK	Alaska	0.41	0.14	0.27
blended	preparation	AK	Alaska	0.48	0.21	0.27
sweetener	ingredient	AK	Alaska	0.69	0.42	0.27
classic	sensory	AK	Alaska	0.53	0.26	0.27
ranch dressing	ingredient	AL	Alabama	0.45	0.26	0.19
strawberry	ingredient	AL	Alabama	0.38	0.19	0.19
loaded	preparation	AL	Alabama	0.27	0.08	0.19
delicious	sensory	AL	Alabama	0.36	0.18	0.18
big	sensory	AL	Alabama	0.31	0.13	0.17
chicken tender	ingredient	AL	Alabama	0.52	0.35	0.17
perfect	sensory	AL	Alabama	0.35	0.19	0.17
little	sensory	AL	Alabama	0.24	0.08	0.17
pie	dish	AL	Alabama	0.39	0.22	0.16
taste	sensory	AL	Alabama	0.25	0.08	0.16
ranch dressing	ingredient	AR	Arkansas	0.53	0.26	0.27
dip	dish	AR	Arkansas	0.51	0.26	0.26
perfect	sensory	AR	Arkansas	0.44	0.19	0.25
covered	preparation	AR	Arkansas	0.39	0.14	0.25
loaded	preparation	AR	Arkansas	0.33	0.08	0.24
cheddar cheese	ingredient	AR	Arkansas	0.59	0.36	0.23
strawberry	ingredient	AR	Arkansas	0.41	0.19	0.22
seasoned	preparation	AR	Arkansas	0.53	0.32	0.21
chip	ingredient	AR	Arkansas	0.49	0.28	0.21
jalape単o pepper	ingredient	AR	Arkansas	0.50	0.30	0.20
blended	preparation	AZ	Arizona	0.36	0.21	0.15
ranch dressing	ingredient	AZ	Arizona	0.41	0.26	0.15
dip	dish	AZ	Arizona	0.40	0.26	0.15
warmed	sensory	AZ	Arizona	0.31	0.17	0.14
tortilla	ingredient	AZ	Arizona	0.38	0.24	0.14
salad dressing	ingredient	AZ	Arizona	0.69	0.55	0.14
dressing	ingredient	AZ	Arizona	0.78	0.64	0.14
chipotle	ingredient	AZ	Arizona	0.27	0.14	0.13
smothered	preparation	AZ	Arizona	0.28	0.15	0.13
cheddar cheese	ingredient	AZ	Arizona	0.49	0.36	0.13
prawn	ingredient	CA	California	0.29	0.09	0.19
cilantro	ingredient	CA	California	0.34	0.21	0.13
avocado	ingredient	CA	California	0.43	0.31	0.13
vegetarian	preparation	CA	California	0.43	0.31	0.12
green salad	dish	CA	California	0.22	0.11	0.11
herb	ingredient	CA	California	0.73	0.64	0.10
mint	ingredient	CA	California	0.20	0.12	0.09
beans	ingredient	CA	California	0.67	0.59	0.08
braised	preparation	CA	California	0.21	0.12	0.08
pot stickers	dish	CA	California	0.13	0.05	0.08
jalape単o pepper	ingredient	CO	Colorado	0.48	0.30	0.18
bowl	preparation	CO	Colorado	0.31	0.16	0.15
green	sensory	CO	Colorado	0.44	0.29	0.14
chili	dish	CO	Colorado	0.42	0.29	0.13
green chile	ingredient	CO	Colorado	0.14	0.02	0.12
chile pepper	ingredient	CO	Colorado	0.74	0.62	0.12
chip	ingredient	CO	Colorado	0.40	0.28	0.11
burrito	dish	CO	Colorado	0.22	0.11	0.11
avocado	ingredient	CO	Colorado	0.41	0.31	0.11
chile	ingredient	CO	Colorado	0.20	0.10	0.10
clam	ingredient	CT	Connecticut	0.46	0.22	0.23
cutlet	preparation	CT	Connecticut	0.34	0.13	0.21
sandwich wrap	dish	CT	Connecticut	0.44	0.24	0.20
gorgonzola cheese	ingredient	CT	Connecticut	0.29	0.10	0.19
buffalo chicken	dish	CT	Connecticut	0.42	0.23	0.19
eggplant	ingredient	CT	Connecticut	0.56	0.37	0.19
tuna	ingredient	CT	Connecticut	0.57	0.40	0.17
caesar salad	dish	CT	Connecticut	0.57	0.41	0.16
ricotta cheese	ingredient	CT	Connecticut	0.35	0.18	0.16
mozzarella cheese	ingredient	CT	Connecticut	0.60	0.44	0.16
herb	ingredient	DC	District of Columbia	0.82	0.64	0.18
salmon	ingredient	DC	District of Columbia	0.56	0.38	0.17
vinaigrette	ingredient	DC	District of Columbia	0.47	0.30	0.16
lamb	ingredient	DC	District of Columbia	0.35	0.20	0.16
cake	dish	DC	District of Columbia	0.55	0.40	0.15
yogurt	ingredient	DC	District of Columbia	0.27	0.12	0.14
carrot	ingredient	DC	District of Columbia	0.54	0.40	0.14
beans	ingredient	DC	District of Columbia	0.73	0.59	0.14
marinated	preparation	DC	District of Columbia	0.58	0.44	0.13
nut	ingredient	DC	District of Columbia	0.70	0.57	0.13
bite sized	preparation	DE	Delaware	0.33	0.07	0.26
blended	preparation	DE	Delaware	0.43	0.21	0.21
blue cheese	ingredient	DE	Delaware	0.47	0.27	0.20
chicken tender	ingredient	DE	Delaware	0.55	0.35	0.20
cheesesteak	dish	DE	Delaware	0.34	0.15	0.19
ranch dressing	ingredient	DE	Delaware	0.45	0.26	0.19
provolone cheese	ingredient	DE	Delaware	0.44	0.25	0.19
bacon	ingredient	DE	Delaware	0.75	0.56	0.19
cinnamon	ingredient	DE	Delaware	0.34	0.15	0.19
berry	ingredient	DE	Delaware	0.53	0.35	0.19
grouper	ingredient	FL	Florida	0.18	0.03	0.15
conch	ingredient	FL	Florida	0.11	0.02	0.10
blackened	preparation	FL	Florida	0.20	0.10	0.10
mahi mahi	ingredient	FL	Florida	0.13	0.04	0.09
key lime pie	dish	FL	Florida	0.11	0.03	0.08
perfect	sensory	FL	Florida	0.26	0.19	0.08
pounded	preparation	FL	Florida	0.21	0.14	0.07
tuna	ingredient	FL	Florida	0.47	0.40	0.07
snapper	ingredient	FL	Florida	0.15	0.08	0.07
lobster	ingredient	FL	Florida	0.32	0.26	0.06
grits	ingredient	GA	Georgia	0.15	0.05	0.10
dip	dish	GA	Georgia	0.36	0.26	0.10
covered	preparation	GA	Georgia	0.24	0.14	0.10
cornmeal	ingredient	GA	Georgia	0.19	0.10	0.09
chicken tender	ingredient	GA	Georgia	0.44	0.35	0.09
pecan	ingredient	GA	Georgia	0.21	0.12	0.08
lemon pepper	ingredient	GA	Georgia	0.11	0.02	0.08
delicious	sensory	GA	Georgia	0.27	0.18	0.08
tilapia	ingredient	GA	Georgia	0.18	0.10	0.08
chip	ingredient	GA	Georgia	0.36	0.28	0.08
ahi tuna	ingredient	HI	Hawaii	0.47	0.06	0.41
macadamia nut	ingredient	HI	Hawaii	0.37	0.02	0.35
seared	preparation	HI	Hawaii	0.40	0.14	0.26
sashimi	dish	HI	Hawaii	0.32	0.07	0.25
warmed	sensory	HI	Hawaii	0.43	0.17	0.25
locally	preparation	HI	Hawaii	0.30	0.05	0.25
strawberry	ingredient	HI	Hawaii	0.44	0.19	0.25
mahi mahi	ingredient	HI	Hawaii	0.29	0.04	0.25
big	sensory	HI	Hawaii	0.38	0.13	0.24
wasabi	ingredient	HI	Hawaii	0.33	0.08	0.24
blended	preparation	IA	Iowa	0.52	0.21	0.31
ranch dressing	ingredient	IA	Iowa	0.55	0.26	0.29
dip	dish	IA	Iowa	0.53	0.26	0.27
perfect	sensory	IA	Iowa	0.43	0.19	0.24
delicious	sensory	IA	Iowa	0.42	0.18	0.24
chip	ingredient	IA	Iowa	0.52	0.28	0.24
signature	preparation	IA	Iowa	0.34	0.11	0.23
stripped	preparation	IA	Iowa	0.45	0.22	0.23
loaded	preparation	IA	Iowa	0.31	0.08	0.23
smothered	preparation	IA	Iowa	0.38	0.15	0.23
cheddar cheese	ingredient	ID	Idaho	0.62	0.36	0.26
ranch dressing	ingredient	ID	Idaho	0.49	0.26	0.22
tender	sensory	ID	Idaho	0.52	0.30	0.22
creamy	sensory	ID	Idaho	0.52	0.30	0.22
dip	dish	ID	Idaho	0.46	0.26	0.21
blended	preparation	ID	Idaho	0.42	0.21	0.20
warmed	sensory	ID	Idaho	0.37	0.17	0.19
melted	preparation	ID	Idaho	0.52	0.33	0.19
tortilla	ingredient	ID	Idaho	0.43	0.24	0.19
stripped	preparation	ID	Idaho	0.40	0.22	0.18
green bell pepper	ingredient	IL	Illinois	0.46	0.32	0.14
bell pepper	ingredient	IL	Illinois	0.61	0.50	0.11
skirt steak	ingredient	IL	Illinois	0.15	0.05	0.11
italian sausage	ingredient	IL	Illinois	0.25	0.15	0.10
breaded	preparation	IL	Illinois	0.42	0.32	0.10
mostaccioli	ingredient	IL	Illinois	0.11	0.02	0.10
peapod	ingredient	IL	Illinois	0.12	0.02	0.10
pizza puff	dish	IL	Illinois	0.10	0.01	0.09
tilapia	ingredient	IL	Illinois	0.18	0.10	0.08
french bread	ingredient	IL	Illinois	0.13	0.04	0.08
delicious	sensory	IN	Indiana	0.40	0.18	0.21
perfect	sensory	IN	Indiana	0.40	0.19	0.21
blended	preparation	IN	Indiana	0.42	0.21	0.20
rich	sensory	IN	Indiana	0.34	0.14	0.20
cheddar cheese	ingredient	IN	Indiana	0.55	0.36	0.19
big	sensory	IN	Indiana	0.32	0.13	0.19
ranch dressing	ingredient	IN	Indiana	0.45	0.26	0.19
famous	sensory	IN	Indiana	0.35	0.17	0.18
smothered	preparation	IN	Indiana	0.33	0.15	0.18
loaded	preparation	IN	Indiana	0.26	0.08	0.18
ranch dressing	ingredient	KS	Kansas	0.54	0.26	0.27
chip	ingredient	KS	Kansas	0.53	0.28	0.25
cheddar cheese	ingredient	KS	Kansas	0.58	0.36	0.22
blended	preparation	KS	Kansas	0.43	0.21	0.22
dip	dish	KS	Kansas	0.46	0.26	0.21
classic	sensory	KS	Kansas	0.47	0.26	0.20
brownie	dish	KS	Kansas	0.29	0.10	0.20
original	sensory	KS	Kansas	0.28	0.10	0.19
cookies	dish	KS	Kansas	0.42	0.24	0.17
premium	sensory	KS	Kansas	0.22	0.04	0.17
perfect	sensory	KY	Kentucky	0.38	0.19	0.19
ranch dressing	ingredient	KY	Kentucky	0.44	0.26	0.18
rich	sensory	KY	Kentucky	0.32	0.14	0.18
loaded	preparation	KY	Kentucky	0.26	0.08	0.18
blended	preparation	KY	Kentucky	0.39	0.21	0.17
delicious	sensory	KY	Kentucky	0.35	0.18	0.17
dip	dish	KY	Kentucky	0.42	0.26	0.17
sugar	ingredient	KY	Kentucky	0.32	0.16	0.16
cheddar cheese	ingredient	KY	Kentucky	0.52	0.36	0.16
smothered	preparation	KY	Kentucky	0.31	0.15	0.16
crawfish	ingredient	LA	Louisiana	0.41	0.02	0.38
po boy sandwich	dish	LA	Louisiana	0.29	0.03	0.26
catfish	ingredient	LA	Louisiana	0.32	0.06	0.26
gumbo	dish	LA	Louisiana	0.27	0.02	0.25
oyster	ingredient	LA	Louisiana	0.33	0.10	0.23
pecan	ingredient	LA	Louisiana	0.32	0.12	0.20
smoked	preparation	LA	Louisiana	0.48	0.28	0.20
dressed	preparation	LA	Louisiana	0.22	0.04	0.18
artichoke	ingredient	LA	Louisiana	0.41	0.23	0.18
remoulade	ingredient	LA	Louisiana	0.22	0.05	0.17
chicken tender	ingredient	MA	Massachusetts	0.52	0.35	0.17
eggplant	ingredient	MA	Massachusetts	0.54	0.37	0.17
broccoli	ingredient	MA	Massachusetts	0.57	0.41	0.16
pasta	ingredient	MA	Massachusetts	0.66	0.51	0.15
haddock	ingredient	MA	Massachusetts	0.17	0.02	0.15
teriyaki	preparation	MA	Massachusetts	0.34	0.20	0.14
stir fried	preparation	MA	Massachusetts	0.29	0.15	0.14
ravioli	ingredient	MA	Massachusetts	0.33	0.20	0.13
boneless	preparation	MA	Massachusetts	0.33	0.20	0.13
sandwich wrap	dish	MA	Massachusetts	0.37	0.24	0.13
crab cake	dish	MD	Maryland	0.34	0.12	0.22
cut	preparation	MD	Maryland	0.32	0.14	0.18
jumbo	sensory	MD	Maryland	0.50	0.32	0.18
lump crab meat	ingredient	MD	Maryland	0.22	0.06	0.16
platter	preparation	MD	Maryland	0.49	0.32	0.16
old bay	ingredient	MD	Maryland	0.17	0.02	0.15
cold	sensory	MD	Maryland	0.40	0.25	0.15
crab	ingredient	MD	Maryland	0.52	0.37	0.15
cake	dish	MD	Maryland	0.55	0.40	0.15
cheesesteak	dish	MD	Maryland	0.28	0.15	0.14
haddock	ingredient	ME	Maine	0.39	0.02	0.37
lobster	ingredient	ME	Maine	0.44	0.26	0.18
chowder	dish	ME	Maine	0.21	0.03	0.18
stew	dish	ME	Maine	0.32	0.15	0.17
cinnamon	ingredient	ME	Maine	0.31	0.15	0.16
swiss cheese	ingredient	ME	Maine	0.44	0.28	0.16
dip	dish	ME	Maine	0.42	0.26	0.16
locally	preparation	ME	Maine	0.21	0.05	0.16
blt	dish	ME	Maine	0.36	0.20	0.16
clam chowder	dish	ME	Maine	0.20	0.04	0.15
green bell pepper	ingredient	MI	Michigan	0.57	0.32	0.25
club sandwich	dish	MI	Michigan	0.45	0.23	0.22
corned	preparation	MI	Michigan	0.34	0.13	0.21
reuben	dish	MI	Michigan	0.33	0.13	0.20
coleslaw	dish	MI	Michigan	0.40	0.20	0.20
ground beef	ingredient	MI	Michigan	0.38	0.18	0.19
ringed	preparation	MI	Michigan	0.45	0.27	0.18
turkey	ingredient	MI	Michigan	0.57	0.39	0.18
swiss cheese	ingredient	MI	Michigan	0.46	0.28	0.18
sauerkraut	ingredient	MI	Michigan	0.30	0.12	0.18
walleye	ingredient	MN	Minnesota	0.29	0.01	0.28
cheddar cheese	ingredient	MN	Minnesota	0.60	0.36	0.24
seasoned	preparation	MN	Minnesota	0.53	0.32	0.21
dip	dish	MN	Minnesota	0.47	0.26	0.21
bun	ingredient	MN	Minnesota	0.37	0.17	0.20
barbeque sauce	ingredient	MN	Minnesota	0.44	0.25	0.19
blended	preparation	MN	Minnesota	0.40	0.21	0.19
classic	sensory	MN	Minnesota	0.44	0.26	0.18
taco	dish	MN	Minnesota	0.35	0.18	0.18
swiss cheese	ingredient	MN	Minnesota	0.45	0.28	0.17
toasted	preparation	MO	Missouri	0.49	0.30	0.20
dip	dish	MO	Missouri	0.40	0.26	0.14
ranch dressing	ingredient	MO	Missouri	0.39	0.26	0.13
processed cheese	ingredient	MO	Missouri	0.13	0.00	0.12
provel	ingredient	MO	Missouri	0.13	0.00	0.12
blended	preparation	MO	Missouri	0.34	0.21	0.12
stripped	preparation	MO	Missouri	0.33	0.22	0.11
smothered	preparation	MO	Missouri	0.26	0.15	0.11
au jus	ingredient	MO	Missouri	0.22	0.10	0.11
covered	preparation	MO	Missouri	0.25	0.14	0.11
loaded	preparation	MS	Mississippi	0.38	0.08	0.29
pecan	ingredient	MS	Mississippi	0.37	0.12	0.25
delicious	sensory	MS	Mississippi	0.41	0.18	0.22
blended	preparation	MS	Mississippi	0.43	0.21	0.22
ranch dressing	ingredient	MS	Mississippi	0.48	0.26	0.22
crunchy	sensory	MS	Mississippi	0.33	0.12	0.21
chocolate	ingredient	MS	Mississippi	0.54	0.33	0.21
