state	ranch_diff	chile_diff	pecan_diff	cheesesteak_diff	bell_diff
AK	34	11	23	-1	7
AL	17	-1	18	0	-7
AR	25	1	15	-2	5
AZ	15	19	7	-2	0
CA	-3	3	-2	-7	-12
CO	7	25	4	-4	2
CT	3	0	0	-1	-5
DC	-6	2	2	-4	9
DE	22	0	6	20	12
FL	-1	-2	1	1	0
GA	6	-1	9	-1	-1
HI	9	1	7	-7	-15
IA	29	3	15	4	14
ID	23	9	5	-1	10
IL	3	-1	0	-8	14
IN	16	1	12	-4	14
KS	30	4	13	-3	4
KY	17	2	14	-4	5
LA	7	-2	19	-5	-7
MA	-3	0	-2	-6	4
MD	3	-1	2	15	15
ME	8	1	8	-6	3
MI	17	-2	4	-8	26
MN	15	2	10	-3	13
MO	13	2	6	-4	9
MS	23	-1	26	3	-6
MT	37	5	14	4	8
NC	13	-1	9	3	5
ND	27	1	15	1	22
NE	23	3	13	-1	11
NH	10	-1	5	-5	7
NJ	-2	-2	-4	29	-1
NM	15	52	11	-3	-8
NV	15	6	5	5	-1
NY	-11	-2	-5	3	-9
OH	14	-1	6	-1	13
OK	28	8	18	-1	3
OR	9	7	2	-6	-3
PA	11	-3	-2	28	15
RI	10	-3	5	-4	3
SC	18	-1	18	0	-1
SD	32	8	17	3	15
TN	17	-1	17	2	2
TX	8	2	13	-4	-5
UT	10	8	4	-6	2
VA	4	0	4	0	11
VT	24	0	11	7	7
WA	1	3	0	-9	2
WI	13	0	10	-2	16
WV	44	-3	3	37	-9
WY	31	9	11	-4	6